addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0xadf4cfe65432349dbc11358f59f107bd10078052,1,0x03938eda90f3caa951ac23b83cdcfac6296dc2f220ea3f530e17aadb4514b2b8f7,0x04938eda90f3caa951ac23b83cdcfac6296dc2f220ea3f530e17aadb4514b2b8f7c59e2542ea9169899f3d16575d63e717341207aa3859139b1536b64dbbbc8a09,0x62368a55b852e7042901636a5ecd604aeaf70463636f207cd878f206b04ff6a1,ok
0x7d6a8bf391889008931c17e6402034dc0495989b,1,0x02f8bc1c116623e435f439f344bce76e298f6a26a2dc957cf264851300f45c3d00,0x04f8bc1c116623e435f439f344bce76e298f6a26a2dc957cf264851300f45c3d006446b08b929b3193cf969ee00975db8f67228a6aa2522e68b8ed72909be455be,0xa29a718db610b94494e0a14313d81cc6598b2ed27c2777dece0d85494e7caeb7,ok
0xbea1a871cf6bf1fe159d2db2dfd46d9f5ffd5c15,1,0x02a492d84ab9cf3fa7272040df75ac9c3fbee254e4aa2bf79411e99342d844e1be,0x04a492d84ab9cf3fa7272040df75ac9c3fbee254e4aa2bf79411e99342d844e1bef606486fc9f8b9d2823136c9f70817be1b39dd90c31e9a752127aa4bea82219c,0x29f0362cb1166308da37c9084a825fe266b2794d8ed5f15ea1e056ef0e539b8a,ok
0xdf9fe9eccb7c8fab43c473c9d0ba88d8458f0f82,1,0x0240b97dd73d00de7573a273cc5f93df1b46849bc0eaf6ac29d05092c912cbe6e0,0x0440b97dd73d00de7573a273cc5f93df1b46849bc0eaf6ac29d05092c912cbe6e06467eb88505bcff065fbca4212ab5bc61b6101282b1493900cefe48124559a62,0xcee998fe26975fc00f6a54041667683430b3914a56ad459cb46967779d91a935,ok
0x3e7f1f3ae3869440fe477ceae3e6faf8c061193f,1,0x02d84f11149a6a6bb202966e4e8e05d342f472f5dc3be4d9dcb4df1bb990ccc30f,0x04d84f11149a6a6bb202966e4e8e05d342f472f5dc3be4d9dcb4df1bb990ccc30f2619986740bcde146a086f17f282e044cc81016d5224f02c81d7f3ada5051c92,0xfea9a49a6de2c85b697399cfe7f061cd3adae9705ec6e97cee4500319f77bede,ok
0x98dce5a81c619081a97e253f90365a37fecb4242,1,0x034990eadb1790a4dd9b21d225c84474396174531a2bfd972af5c9178e56508b1b,0x044990eadb1790a4dd9b21d225c84474396174531a2bfd972af5c9178e56508b1bd0bd1e0151e21bf46ea654efd359ed3b91dc17a46df27185fa34b85f8114789b,0x06f5ce5d77e4a0ed87e5f684379c7790b1b887a2fb8e9cd55f5503e901fc4a2d,ok
0x375a65a53c3f187a4957b049074aa30fc4dc1e18,1,,,,never-sent
0x2ec4a149f907a5d339046d9d51c0bb23ea24a1c6,1,0x034261877e1662bfa8ca3041f44c8474bb43f25159cbb3c90714f6ba3c14b82ea7,0x044261877e1662bfa8ca3041f44c8474bb43f25159cbb3c90714f6ba3c14b82ea7e95e15201a0c281d4d2917f1094231c0fb1dc1184fbfd5a4b91ff6db8812dde1,0xea2d739cbabd034edf72b35f1ac0d0fddbdfc90aa3997894061225cd837df94a,ok
0x01a182ee9d2089d299b6dbfc503864d366393fa0,1,0x03f390df8713328a6b00797df815e3bcc256a6390042ee6584c33c460bab224906,0x04f390df8713328a6b00797df815e3bcc256a6390042ee6584c33c460bab224906e164de81d36e3c8133cc2072548bf4521bc6fc3a25a063e32565aaaa45d427e3,0x4fe37d5d7c6547dc9c2b4d29b203d738b570391bb825bc96af7d051aad315aab,ok
0xb5b8de1a4c4071b95bce50d66888ef89d4410ce3,1,,,,never-sent
0x2cf4553b684b64f4b2e66201768df3fda8d0c7b0,1,0x03326457211576f72f1238acbac5130895db3af3ffc4c026a46548c00c44b69b4d,0x04326457211576f72f1238acbac5130895db3af3ffc4c026a46548c00c44b69b4dfcc0d558256c48e0eac4ff08411c768519e28bba61599688b3734e05c58f89fb,0xeea2482f729e4ff614f50c99440a7d633afddfc0bbd4c7720ebeb53e58726d38,ok
0x86f2f7eba909daf99a6ddc260bd3186a38d6fba6,1,0x02b000010640c12bdcea48088a5926cec7489e9eb34e77f33b592e4b49150d0d70,0x04b000010640c12bdcea48088a5926cec7489e9eb34e77f33b592e4b49150d0d70a891d3773e527bda282db09b4374365de7d54e550de9502f7fbc318519f7693a,0x1121a0d5138b5ea278d828bc331b9193c3b1e6344828434bdb4ee9d249b6c781,ok
